ordinal,fault_id,paired_fault_id,stuck_at,location_id,site_id,site_key,region,source_net,source_class,source_fanout,fanout_bucket,sink_instance,sink_cell_type,sink_pin,sink_role,stratum,result,screening_decision,xrun_exit_status,run_dir,xrun_log,signature_present,fault_json_present,fault_patch_present
1,BF0001_SA0,BF0001_SA1,0,BL00001,BS000004,cv32e40p_ff_one|g1227|C1,core_glue_sleep,first_one_o[4],combinational_output,7,5_8,g1227,OAI221_X1,C1,combinational_input,core_glue_sleep|combinational_output|5_8,OUTPUT_MATCH,LOCAL_PROBE_REQUIRED,0,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0001_SA0/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0001_SA0/results/crc32/screen_seed20260729_mc2000000/xrun.log,True,True,True
2,BF0001_SA1,BF0001_SA0,1,BL00001,BS000004,cv32e40p_ff_one|g1227|C1,core_glue_sleep,first_one_o[4],combinational_output,7,5_8,g1227,OAI221_X1,C1,combinational_input,core_glue_sleep|combinational_output|5_8,OUTPUT_MATCH,LOCAL_PROBE_REQUIRED,0,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0001_SA1/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0001_SA1/results/crc32/screen_seed20260729_mc2000000/xrun.log,True,True,True
3,BF0002_SA0,BF0002_SA1,0,BL00002,BS000006,cv32e40p_ff_one|g1234|A1,core_glue_sleep,first_one_o[4],combinational_output,7,5_8,g1234,NAND3_X1,A1,combinational_input,core_glue_sleep|combinational_output|5_8,OUTPUT_MATCH,LOCAL_PROBE_REQUIRED,0,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0002_SA0/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0002_SA0/results/crc32/screen_seed20260729_mc2000000/xrun.log,True,True,True
4,BF0002_SA1,BF0002_SA0,1,BL00002,BS000006,cv32e40p_ff_one|g1234|A1,core_glue_sleep,first_one_o[4],combinational_output,7,5_8,g1234,NAND3_X1,A1,combinational_input,core_glue_sleep|combinational_output|5_8,OUTPUT_MATCH,LOCAL_PROBE_REQUIRED,0,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0002_SA1/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0002_SA1/results/crc32/screen_seed20260729_mc2000000/xrun.log,True,True,True
5,BF0003_SA0,BF0003_SA1,0,BL00003,BS000008,cv32e40p_sleep_unit_COREV_CLUSTER0|g95|A1,core_glue_sleep,n_3,combinational_output,2,2,g95,AND2_X1,A1,combinational_input,core_glue_sleep|combinational_output|2,OUTPUT_MATCH,LOCAL_PROBE_REQUIRED,0,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0003_SA0/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0003_SA0/results/crc32/screen_seed20260729_mc2000000/xrun.log,True,True,True
6,BF0003_SA1,BF0003_SA0,1,BL00003,BS000008,cv32e40p_sleep_unit_COREV_CLUSTER0|g95|A1,core_glue_sleep,n_3,combinational_output,2,2,g95,AND2_X1,A1,combinational_input,core_glue_sleep|combinational_output|2,OUTPUT_MATCH,LOCAL_PROBE_REQUIRED,0,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0003_SA1/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0003_SA1/results/crc32/screen_seed20260729_mc2000000/xrun.log,True,True,True
7,BF0004_SA0,BF0004_SA1,0,BL00004,BS000009,cv32e40p_sleep_unit_COREV_CLUSTER0|g96|A1,core_glue_sleep,n_3,combinational_output,2,2,g96,NOR2_X1,A1,combinational_input,core_glue_sleep|combinational_output|2,OUTPUT_MATCH,LOCAL_PROBE_REQUIRED,0,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0004_SA0/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0004_SA0/results/crc32/screen_seed20260729_mc2000000/xrun.log,True,True,True
8,BF0004_SA1,BF0004_SA0,1,BL00004,BS000009,cv32e40p_sleep_unit_COREV_CLUSTER0|g96|A1,core_glue_sleep,n_3,combinational_output,2,2,g96,NOR2_X1,A1,combinational_input,core_glue_sleep|combinational_output|2,OUTPUT_MATCH,LOCAL_PROBE_REQUIRED,0,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0004_SA1/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0004_SA1/results/crc32/screen_seed20260729_mc2000000/xrun.log,True,True,True
9,BF0005_SA0,BF0005_SA1,0,BL00005,BS000048,cv32e40p_controller_COREV_CLUSTER0_COREV_PULP0_FPU0|g10634|A1,csr_debug,debug_running_o,sequential_output,2,2,g10634,NOR2_X1,A1,combinational_input,csr_debug|sequential_output|2,OUTPUT_MATCH,LOCAL_PROBE_REQUIRED,0,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0005_SA0/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0005_SA0/results/crc32/screen_seed20260729_mc2000000/xrun.log,True,True,True
10,BF0005_SA1,BF0005_SA0,1,BL00005,BS000048,cv32e40p_controller_COREV_CLUSTER0_COREV_PULP0_FPU0|g10634|A1,csr_debug,debug_running_o,sequential_output,2,2,g10634,NOR2_X1,A1,combinational_input,csr_debug|sequential_output|2,OUTPUT_MATCH,LOCAL_PROBE_REQUIRED,0,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0005_SA1/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0005_SA1/results/crc32/screen_seed20260729_mc2000000/xrun.log,True,True,True
